contract,block,event_name,event_data,transaction_hash,gas,gas_price,log_index,block_timestamp
0x3416cf6c708da44db2624d63ea0aaef7113527c6,20413872,Swap,"{""sender"": ""0xE37e799D5077682FA0a244D46E5649F71457BD09"", ""recipient"": ""0x1111111254fb6c44bAC0beD2854e76F90643097d"", ""amount0"": 1470000000, ""amount1"": -1470010807, ""sqrtPriceX96"": 79232415093119520756916566942, ""liquidity"": 149639972587634595, ""tick"": 1}",0xe69669e40f443c66bfc5e4d2d9c310be646a9eb8061feb5e5784b822af9cf082,304731,6294872362,61,2024-07-29 17:59:35
0x3416cf6c708da44db2624d63ea0aaef7113527c6,20413879,Swap,"{""sender"": ""0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD"", ""recipient"": ""0xf922194B60fF86321dDBfC08aefe302F06667cEd"", ""amount0"": 21845154, ""amount1"": -21845313, ""sqrtPriceX96"": 79232415081553332589234186960, ""liquidity"": 149639972587634595, ""tick"": 1}",0x93e9e2c8b0d96d4d15afa33abe3af6f951c0fdb302637bc9fd31f35ce25b829c,427206,5502567341,248,2024-07-29 18:00:59
0x3416cf6c708da44db2624d63ea0aaef7113527c6,20413887,Swap,"{""sender"": ""0x1111111254EEB25477B68fb85Ed929f73A960582"", ""recipient"": ""0x74de5d4FCbf63E00296fd95d33236B9794016631"", ""amount0"": -9666033604, ""amount1"": 9668038708, ""sqrtPriceX96"": 79232420199867180171967577691, ""liquidity"": 149639972587634595, ""tick"": 1}",0x236ca31212edb3ebfb59bf25131d4ab3a13e2e7e5fc9b1e83970ae50e5dba844,334839,5972122716,90,2024-07-29 18:02:35
0x3416cf6c708da44db2624d63ea0aaef7113527c6,20413888,Swap,"{""sender"": ""0x1111111254EEB25477B68fb85Ed929f73A960582"", ""recipient"": ""0x663DC15D3C1aC63ff12E45Ab68FeA3F0a883C251"", ""amount0"": 4990122603, ""amount1"": -4990159718, ""sqrtPriceX96"": 79232417557784464626264673676, ""liquidity"": 149639972587634595, ""tick"": 1}",0x367bc120d37a747aeec036d59d21bc4f6b7608d0779ca4d1e7ea4905ce5c24d8,403463,4514109882,142,2024-07-29 18:02:47
0x3416cf6c708da44db2624d63ea0aaef7113527c6,20413889,Swap,"{""sender"": ""0xE592427A0AEce92De3Edee1F18E0157C05861564"", ""recipient"": ""0xE592427A0AEce92De3Edee1F18E0157C05861564"", ""amount0"": -3218013485, ""amount1"": 3218681088, ""sqrtPriceX96"": 79232419261772261622716069190, ""liquidity"": 149639972587634595, ""tick"": 1}",0xa3e02bd8bd68dd936007fd96311f5bc822e535a452b2bd0e12997c5b99995dc1,1297171,4559218548,100,2024-07-29 18:02:59
0x3416cf6c708da44db2624d63ea0aaef7113527c6,20413910,Swap,"{""sender"": ""0x2c11a5A75048d0d1E1598aeC4B67A11F1e851293"", ""recipient"": ""0xA86ACA6D7C393c06DcDC30473ea3D1b05c358DFF"", ""amount0"": -3415704531, ""amount1"": 3416413297, ""sqrtPriceX96"": 79232421070440597780088857414, ""liquidity"": 149639972587634595, ""tick"": 1}",0x66bae2c138f57f7e106334d933b25968e307d8022ed058bf3fd58714ccdcdda1,521522,5000000000,231,2024-07-29 18:07:11
0x3416cf6c708da44db2624d63ea0aaef7113527c6,20413911,Swap,"{""sender"": ""0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD"", ""recipient"": ""0xbA2A99b3535531e07dB616AAC2d0BD61D27Ff669"", ""amount0"": -2026461176, ""amount1"": 2026881746, ""sqrtPriceX96"": 79232422143483147278127207559, ""liquidity"": 149639972587634595, ""tick"": 1}",0x425c83402d401038146d90d8b6d92f39a9092fa718b94332e6f8f847222076ea,210186,5239022901,286,2024-07-29 18:07:23
0x3416cf6c708da44db2624d63ea0aaef7113527c6,20413916,Swap,"{""sender"": ""0xF3dE3C0d654FDa23daD170f0f320a92172509127"", ""recipient"": ""0xe9fE3665b240EC88029C71a8fE8b3eF937Ab937B"", ""amount0"": -306997294, ""amount1"": 307061014, ""sqrtPriceX96"": 79232422306042967619945349977, ""liquidity"": 149639972587634595, ""tick"": 1}",0xab57d7d492481c887642708424a161bc5dfe2afc85ff1f67028eba84bf53f645,344049,5533615777,156,2024-07-29 18:08:23
0x3416cf6c708da44db2624d63ea0aaef7113527c6,20413924,Swap,"{""sender"": ""0x7f6ceE965959295cC64d0E6c00d99d6532d8e86b"", ""recipient"": ""0x7f6ceE965959295cC64d0E6c00d99d6532d8e86b"", ""amount0"": -7405771983, ""amount1"": 7407309462, ""sqrtPriceX96"": 79232426227514088907942450955, ""liquidity"": 149639972587634595, ""tick"": 1}",0x37b57b20fac37a18c76838fe35c8dd4352c07e96872f4bf838557f2fd81f8de9,910593,5238535769,108,2024-07-29 18:09:59
0x3416cf6c708da44db2624d63ea0aaef7113527c6,20413932,Swap,"{""sender"": ""0x1111111254EEB25477B68fb85Ed929f73A960582"", ""recipient"": ""0x663DC15D3C1aC63ff12E45Ab68FeA3F0a883C251"", ""amount0"": 5008741929, ""amount1"": -5008779944, ""sqrtPriceX96"": 79232423575572735611535436418, ""liquidity"": 149639972587634595, ""tick"": 1}",0x31a13641c43fbe8fe6a6df8b5d9c2f70419fa567412ad0b97e7df2e997f2e120,403463,5751588802,227,2024-07-29 18:11:35
0x3416cf6c708da44db2624d63ea0aaef7113527c6,20413934,Swap,"{""sender"": ""0xE37e799D5077682FA0a244D46E5649F71457BD09"", ""recipient"": ""0xE37e799D5077682FA0a244D46E5649F71457BD09"", ""amount0"": -11986144207, ""amount1"": 11988633348, ""sqrtPriceX96"": 79232429922422384165466197688, ""liquidity"": 149639972587634595, ""tick"": 1}",0x1d9fa49ba65cd37e23c19671aba852940122580126bd080668403930afed60d3,632887,5655713928,130,2024-07-29 18:11:59
0x3416cf6c708da44db2624d63ea0aaef7113527c6,20413934,Swap,"{""sender"": ""0x00000000009E50a7dDb7a7B0e2ee6604fd120E49"", ""recipient"": ""0xc7bBeC68d12a0d1830360F8Ec58fA599bA1b0e9b"", ""amount0"": 2971785906, ""amount1"": -2971808778, ""sqrtPriceX96"": 79232428348972825513531175129, ""liquidity"": 149639972587634595, ""tick"": 1}",0xf378d23c21faa29658a1656da4aa8d7fb089251889dcb15cd43079525b5ca54d,809005,4563688472,452,2024-07-29 18:11:59
0x3416cf6c708da44db2624d63ea0aaef7113527c6,20413939,Swap,"{""sender"": ""0x12FF0E28318E53a6f91D42cF607963076AF6c03F"", ""recipient"": ""0x12FF0E28318E53a6f91D42cF607963076AF6c03F"", ""amount0"": -14397008233, ""amount1"": 14400000000, ""sqrtPriceX96"": 79232435972413486848044949725, ""liquidity"": 149639972587634595, ""tick"": 1}",0x0e54da4e32e47bb9eeb56133c8964b9389d0ca26d81ff144816ba2c8379d6c80,1350000,4574899641,202,2024-07-29 18:12:59
0x3416cf6c708da44db2624d63ea0aaef7113527c6,20413940,Swap,"{""sender"": ""0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD"", ""recipient"": ""0x22Fc3b7cf329D85db1ACa25A6E671fec8728DE63"", ""amount0"": -130972655996, ""amount1"": 131000000000, ""sqrtPriceX96"": 79232505324547284934951201666, ""liquidity"": 149639972587634595, ""tick"": 1}",0x5db8e91f1cbfbc59c71b92dcdbf43388d05dc42ebda92cf20a901a10fe436db3,162997,5000000000,183,2024-07-29 18:13:11
0x3416cf6c708da44db2624d63ea0aaef7113527c6,20413942,Swap,"{""sender"": ""0xe3210B2C17152ADF36b674c3878cd63BcC576428"", ""recipient"": ""0x26eB17CBcB2726DD62Ba2d62B5cAc3C40BE16be9"", ""amount0"": -4577919824, ""amount1"": 4578879734, ""sqrtPriceX96"": 79232507748631864750765184518, ""liquidity"": 149639972587634595, ""tick"": 1}",0xd7cb7bfb5a971933a7da10c3957f358fca9ea5d78c21dd6fd608ae0730ea0b86,237731,5656882743,261,2024-07-29 18:13:35
0x3416cf6c708da44db2624d63ea0aaef7113527c6,20413944,Swap,"{""sender"": ""0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD"", ""recipient"": ""0x22Fc3b7cf329D85db1ACa25A6E671fec8728DE63"", ""amount0"": -999790324, ""amount1"": 1000000000, ""sqrtPriceX96"": 79232508278037466262878972700, ""liquidity"": 149639972587634595, ""tick"": 1}",0xed0acb46dd24cfae7a04cc912ec4f9b7b411c78f329b947da52ec3951922f92f,162968,5000000000,71,2024-07-29 18:13:59
0x3416cf6c708da44db2624d63ea0aaef7113527c6,20413944,Swap,"{""sender"": ""0x00000000009E50a7dDb7a7B0e2ee6604fd120E49"", ""recipient"": ""0xc7bBeC68d12a0d1830360F8Ec58fA599bA1b0e9b"", ""amount0"": 4750590130, ""amount1"": -4750636032, ""sqrtPriceX96"": 79232505762772613691540392216, ""liquidity"": 149639972587634595, ""tick"": 1}",0x1729f9432efdf1d2490dfe32690034ed932d6d5cfa07695976ccfeda812fe679,1139078,6065913862,83,2024-07-29 18:13:59
0x3416cf6c708da44db2624d63ea0aaef7113527c6,20413951,Swap,"{""sender"": ""0x00000000009E50a7dDb7a7B0e2ee6604fd120E49"", ""recipient"": ""0xc7bBeC68d12a0d1830360F8Ec58fA599bA1b0e9b"", ""amount0"": 4373428728, ""amount1"": -4373470720, ""sqrtPriceX96"": 79232503447201159328886748926, ""liquidity"": 149639972587634595, ""tick"": 1}",0x322c0ea055a2a7f44bdc1ef6eb21e561d2d012a7038b81c49e8636a3fd9f26ff,1077340,5478505365,156,2024-07-29 18:15:23
0x3416cf6c708da44db2624d63ea0aaef7113527c6,20413956,Swap,"{""sender"": ""0xe3210B2C17152ADF36b674c3878cd63BcC576428"", ""recipient"": ""0x26eB17CBcB2726DD62Ba2d62B5cAc3C40BE16be9"", ""amount0"": -2649841557, ""amount1"": 2650397023, ""sqrtPriceX96"": 79232504850336189378497622011, ""liquidity"": 149639972587634595, ""tick"": 1}",0xc1cf8bca0897d0209580e044da3a243bfc1925933144c2d9ff52d069fa44e9cb,237695,6021192369,474,2024-07-29 18:16:23
